CustomerID,Name,Age,Gender,Email,City,AccountType,Balance,JoinDate,LoanStatus
C1090,Ali ,23.0,,user90mail.com,Karachi,Saving,21739.0,2016-01-19,Rejected
C1091,,33.0,Female,user91@mail.com,Islamabad,Current,34443.0,2016-06-22,approved
C1092,Sara,19.0,Male,user92mail.com,,Current,80388.0,2017-05-21,Rejected
C1093,Sana,38.0,,,Karachi,Current,62813.0,2024-06-30,approved
C1094,Sana,29.0,Male,user94mail.com,Karachi,Current ,89696.0,2024-05-20,Rejected
C1095,Ahmed,29.0,M,user95@mail.com,Karachi,Saving,80301.0,2017-09-26,Approved
C1096,Ali ,,Male,,,Current ,12925.0,2016-04-04,
C1097,Ali,59.0,F,,Karachi,Current ,,2018-06-08,approved
C1098,Ali ,60.0,M,,Lahore ,Current ,43431.0,2022-10-25,Rejected
C1099,Ali,24.0,Male,user99@mail.com,Lahore,Current ,,2023-04-08,Approved
C1100,Ali ,18.0,,,Islamabad,,54669.0,2017-04-18,approved
C1101,Ali,24.0,Female,user101@mail.com,Karachi,saving,51814.0,2017-12-16,Pending
C1102,Ahmed,58.0,Female,,Islamabad,Current,9604.0,2021-08-10,Rejected
C1103,,46.0,male,user103@mail.com,Lahore ,saving,28289.0,2017-06-26,Rejected
C1104,Ahmed,36.0,F,,Karachi,Saving,96974.0,2015-07-21,approved
C1105,Sara,47.0,,,Karachi,Saving,25008.0,2016-12-03,Approved
C1106,Ahmed,21.0,F,user106@mail.com,Islamabad,,70554.0,2015-12-05,Rejected
C1107,Ahmed,35.0,M,user107mail.com,Lahore ,Saving,80421.0,2020-06-03,Rejected
C1108,,49.0,Female,,Karachi,Current ,80568.0,2023-07-19,Approved
C1109,Zoya,30.0,Female,user109mail.com,Lahore,Current ,82516.0,2015-01-19,
C1110,Sara,46.0,M,user110@mail.com,Karachi,Current ,28923.0,2017-04-30,
C1111,,19.0,Male,user111mail.com,Lahore ,,16560.0,2017-09-06,Pending
C1112,Sara,44.0,Female,user112mail.com,,Current ,32675.0,2020-02-08,Pending
C1113,Sana,62.0,M,user113mail.com,Karachi,,57082.0,2023-03-16,
C1114,,35.0,Male,user114@mail.com,,saving,39277.0,2016-03-23,Pending
C1115,Zoya,45.0,F,user115mail.com,Islamabad,saving,34301.0,2022-04-17,Pending
C1116,Ali,18.0,male,user116@mail.com,Karachi,,73937.0,2022-04-26,Approved
C1117,Ahmed,46.0,F,user117@mail.com,Lahore,saving,17086.0,2022-12-11,Pending
C1118,Ali ,,M,user118@mail.com,Islamabad,,,2016-08-11,approved
C1119,Sana,20.0,F,,Islamabad,Current,66074.0,2016-06-13,Rejected
C1120,Zoya,54.0,Female,user120mail.com,Lahore,Current ,26230.0,2021-02-25,Pending
C1121,Ali ,54.0,Female,,Karachi,,8466.0,2019-11-26,
C1122,Sara,43.0,Male,user122@mail.com,,,77211.0,2016-11-21,Pending
C1123,Ali,26.0,,,Karachi,,23346.0,2015-05-25,approved
C1124,Zoya,56.0,male,user124@mail.com,Islamabad,,17223.0,2022-08-14,Rejected
C1125,Ahmed,28.0,male,user125mail.com,Karachi,Current ,78971.0,2024-03-03,
C1126,Sara,19.0,F,user126@mail.com,Islamabad,saving,24120.0,2023-05-09,Approved
C1127,Ali,22.0,Male,,Karachi,,2928.0,2022-09-28,approved
C1128,Sana,22.0,,,Karachi,Current ,69714.0,2017-03-16,Pending
C1129,Ahmed,23.0,Male,user129mail.com,Karachi,Current,48246.0,2022-06-21,
C1130,Ali ,44.0,F,,Islamabad,Current,38914.0,2017-07-18,Approved
C1131,Ali ,29.0,Female,user131@mail.com,,,,2021-01-28,
C1132,Sara,52.0,Female,user132mail.com,Karachi,saving,97708.0,2018-06-28,
C1133,Sara,36.0,M,,Lahore,Current ,62166.0,2019-08-15,Approved
C1134,Ali ,19.0,M,user134mail.com,Lahore,,90216.0,2021-01-13,approved
C1135,,38.0,Male,user135mail.com,Lahore,saving,78301.0,2021-01-27,approved
C1136,Sara,59.0,,user136@mail.com,,Saving,23780.0,2019-07-30,Approved
C1137,Zoya,55.0,M,,Islamabad,Current,55363.0,2015-01-24,
C1138,Zoya,35.0,M,,Karachi,Current ,78572.0,2022-09-22,Rejected
C1139,Ahmed,57.0,M,,Lahore,Current ,81268.0,2020-11-23,Rejected
C1140,Sana,,,user140@mail.com,Karachi,Current ,98505.0,2022-11-14,
C1141,Sana,44.0,male,user141@mail.com,Lahore,Saving,18660.0,2018-03-22,Pending
C1142,Sara,19.0,Male,,Islamabad,Current ,19060.0,2015-04-11,Approved
C1143,Ahmed,33.0,Male,user143@mail.com,Islamabad,saving,90286.0,2019-10-13,Approved
C1144,Ahmed,56.0,Male,user144mail.com,Karachi,saving,83912.0,2017-10-19,
C1145,Ali,53.0,male,user145mail.com,Karachi,saving,45802.0,2015-12-13,approved
C1146,Sana,44.0,,user146mail.com,Islamabad,saving,73809.0,2024-08-08,
C1147,Ali,52.0,Female,user147@mail.com,Karachi,Current,47295.0,2021-10-02,
C1148,,54.0,Female,user148mail.com,Karachi,Current,47091.0,2021-03-03,Pending
C1149,Ali ,36.0,Male,user149@mail.com,Lahore ,Saving,54326.0,2023-04-08,approved
C1150,Sara,25.0,male,user150@mail.com,,Saving,,2018-08-08,approved
C1151,,27.0,F,user151@mail.com,Lahore ,Current,74870.0,2022-09-07,Approved
C1152,Ahmed,43.0,M,user152@mail.com,,Saving,92513.0,2016-05-03,Approved
C1153,Ahmed,23.0,Female,user153@mail.com,Lahore,Current ,7730.0,2024-02-13,Approved
C1154,Ali ,34.0,M,,Lahore,Current,40937.0,2023-04-02,Approved
C1155,Sana,47.0,,,Lahore,,46178.0,2017-10-11,
C1156,Ahmed,21.0,,user156mail.com,,Current,76915.0,2016-12-01,Approved
C1157,,58.0,,user157@mail.com,,Current,82739.0,2023-05-05,
C1158,Ali ,55.0,Female,user158mail.com,Islamabad,saving,8503.0,2016-03-22,approved
C1159,Ali,41.0,F,,,Saving,9667.0,2015-12-05,
C1160,Sara,25.0,,,,Saving,35007.0,2021-07-25,
C1161,Ali,37.0,F,user161@mail.com,Karachi,Current ,31650.0,2019-07-25,approved
C1162,Ali,54.0,F,,,Saving,30228.0,2023-04-24,
C1163,Sara,53.0,,user163mail.com,Islamabad,Current,21942.0,2024-10-16,Pending
C1164,Zoya,58.0,,user164@mail.com,Karachi,Saving,33798.0,2023-11-10,
C1165,Ali ,42.0,Male,,Karachi,Saving,32273.0,2023-09-03,Approved
C1166,Zoya,38.0,,user166@mail.com,Karachi,Current,94764.0,2021-06-27,Pending
C1167,Ahmed,40.0,M,user167@mail.com,Karachi,Current,3187.0,2020-10-22,approved
C1168,Ali ,39.0,male,user168@mail.com,,Current ,61754.0,2019-06-24,Pending
C1169,Ali ,46.0,M,user169mail.com,Lahore,Current ,19163.0,2015-03-11,approved
C1170,,51.0,Female,,Islamabad,,99671.0,2024-09-14,Rejected
C1171,Zoya,34.0,Female,,Karachi,Saving,90553.0,2019-03-12,Pending
C1172,Ali,33.0,F,user172@mail.com,Karachi,Saving,24210.0,2024-06-06,approved
C1173,Ahmed,60.0,M,user173@mail.com,Lahore,,78462.0,2015-01-09,Approved
C1174,,53.0,Female,user174@mail.com,,saving,73270.0,2024-01-10,Approved
C1175,Ali,,F,user175@mail.com,Karachi,Current,83302.0,2018-11-27,
C1176,,21.0,F,user176@mail.com,Lahore ,saving,79159.0,2015-06-29,
C1177,,56.0,male,user177@mail.com,Islamabad,saving,52675.0,2024-02-07,
C1178,Ahmed,48.0,,user178mail.com,Lahore,saving,8102.0,2017-10-09,
C1179,Zoya,39.0,,user179mail.com,Islamabad,Saving,31209.0,2018-01-11,Approved
C1180,Sana,40.0,F,user180mail.com,Lahore ,Saving,34900.0,2022-05-27,Pending
C1181,Ali,19.0,Male,user181mail.com,Lahore ,Current,19351.0,2018-09-10,Rejected
C1182,Zoya,55.0,M,,Lahore,Current ,15288.0,2018-11-21,Approved
C1183,Sana,25.0,male,,Karachi,Saving,92715.0,2024-05-16,Approved
C1184,Zoya,62.0,M,user184@mail.com,Karachi,Current ,,2022-10-03,
C1185,Ali,23.0,Male,user185@mail.com,Karachi,Saving,26583.0,2024-07-23,approved
C1186,Ahmed,47.0,M,user186mail.com,Karachi,Current,89791.0,2018-01-09,approved
C1187,Sana,37.0,M,user187mail.com,,,81634.0,2019-10-22,
C1188,Ali,36.0,,user188@mail.com,Karachi,Current ,35773.0,2019-01-24,approved
C1189,Ahmed,32.0,Male,user189@mail.com,,Current ,82113.0,2022-09-16,Approved
C1190,Ali ,59.0,M,user190mail.com,Karachi,Current,2943.0,2019-10-08,approved
C1191,Sara,49.0,M,,Karachi,Current,4109.0,2016-09-07,Rejected
C1192,Ahmed,,M,user192mail.com,Islamabad,saving,73174.0,2017-03-26,
C1193,Ahmed,47.0,,user193@mail.com,,Saving,11753.0,2016-10-08,Rejected
C1194,Ali ,64.0,Male,,Lahore,Current ,30464.0,2020-02-20,Approved
C1195,Sana,45.0,male,user195@mail.com,Islamabad,Current,36184.0,2024-02-25,
C1196,Ali ,51.0,M,user196@mail.com,Islamabad,Current,34288.0,2021-09-04,Rejected
C1197,Ali ,29.0,M,user197mail.com,Islamabad,Current ,54685.0,2016-05-23,Pending
C1198,,63.0,Male,user198mail.com,Karachi,saving,77769.0,2021-12-15,Rejected
C1199,Ali ,40.0,,user199mail.com,Karachi,saving,77005.0,2016-08-09,Pending
C1200,Ali,50.0,Female,,,Saving,,2015-08-26,
C1201,Ali ,,male,,Lahore ,saving,9927.0,2024-01-09,Pending
C1202,Zoya,33.0,Female,user202mail.com,,Current,30010.0,2016-01-12,approved
C1203,Ali ,49.0,M,user203@mail.com,Lahore ,Current,27928.0,2016-07-14,Approved
C1204,Ali ,47.0,,,Islamabad,,94089.0,2017-06-26,Pending
C1205,Ahmed,30.0,Male,user205mail.com,Karachi,Current ,72266.0,2022-08-05,
C1206,,58.0,Female,,Lahore,Saving,91119.0,2022-10-06,Pending
C1207,Ahmed,24.0,F,user207mail.com,Lahore,Current,72190.0,2015-07-28,Pending
C1208,Ahmed,34.0,male,user208mail.com,Karachi,Current ,4017.0,2018-02-19,approved
C1209,Sara,24.0,F,,Karachi,Current,38290.0,2020-07-21,Rejected
C1210,Sana,29.0,M,user210mail.com,Lahore,,60187.0,2021-08-14,
C1211,Sana,41.0,,user211mail.com,Lahore,Saving,13065.0,2020-12-04,approved
C1212,Ahmed,32.0,male,,Karachi,Saving,84785.0,2023-09-02,Approved
C1213,Sara,39.0,male,user213@mail.com,Karachi,Current,17591.0,2016-01-25,Approved
C1214,Ali ,54.0,Female,user214mail.com,Karachi,Current,30194.0,2016-08-27,Rejected
C1215,Zoya,57.0,F,user215mail.com,Karachi,Saving,44460.0,2021-09-04,Pending
C1216,Ahmed,23.0,F,user216mail.com,Karachi,Saving,99259.0,2023-10-04,approved
C1217,Sara,55.0,Male,user217@mail.com,Lahore,Saving,94974.0,2015-09-16,approved
C1218,Ali,55.0,Female,user218mail.com,Lahore,,,2018-08-06,Rejected
C1219,Ali,44.0,F,,,Saving,1015.0,2020-01-27,approved
C1220,Sana,27.0,Female,user220mail.com,Lahore ,Current ,94947.0,2015-07-27,Rejected
C1221,Sana,51.0,F,,,Current,83335.0,2022-03-12,approved
C1222,Ali,29.0,Female,user222mail.com,Karachi,Saving,68661.0,2016-03-29,Rejected
C1223,,49.0,Male,,Islamabad,Saving,25065.0,2020-12-26,approved
C1224,Zoya,20.0,F,user224mail.com,Lahore,Saving,77178.0,2021-09-19,
C1225,Sara,52.0,Female,,Lahore,saving,2819.0,2021-02-07,Pending
C1226,Zoya,28.0,Female,user226mail.com,Karachi,Current,83641.0,2018-06-13,approved
C1227,Sana,20.0,Female,,Lahore,Current ,42429.0,2019-07-20,Pending
C1228,,37.0,Male,,,,56595.0,2020-07-03,Pending
C1229,Ali,55.0,,user229@mail.com,Lahore,Saving,85433.0,2018-10-28,
C1230,Sana,23.0,male,user230mail.com,Karachi,saving,26183.0,2019-10-14,Pending
C1231,Ali,43.0,male,user231mail.com,Karachi,,49153.0,2018-09-05,Approved
C1232,Ali,20.0,Male,user232mail.com,Karachi,,38657.0,2018-12-07,
C1233,Ali,42.0,F,,Islamabad,Saving,59602.0,2018-05-31,Rejected
C1234,,60.0,M,user234@mail.com,Karachi,Current,58496.0,2017-06-25,Pending
C1235,Sana,48.0,,user235mail.com,Lahore ,,69225.0,2017-08-11,Pending
C1236,Zoya,19.0,Female,,Islamabad,saving,70130.0,2015-05-13,Pending
C1237,,57.0,M,user237mail.com,Lahore,Current ,49790.0,2015-08-25,Pending
C1238,Sana,26.0,F,user238mail.com,Lahore ,,61550.0,2017-09-19,Rejected
C1239,Sara,59.0,M,user239mail.com,Karachi,Current ,94189.0,2023-07-19,Rejected
C1240,Sara,18.0,M,,,,22122.0,2015-02-22,
C1241,Ahmed,52.0,,user241@mail.com,,saving,52122.0,2017-01-26,Pending
C1242,Zoya,20.0,M,,Lahore,Current,65600.0,2017-04-28,Rejected
C1243,,51.0,M,user243@mail.com,Karachi,Current,13595.0,2020-10-23,Pending
C1244,Ahmed,41.0,male,user244@mail.com,Karachi,Saving,69681.0,2017-03-09,Rejected
C1245,Sana,37.0,Male,user245mail.com,Karachi,Saving,94828.0,2019-01-11,Rejected
C1246,,41.0,,,,saving,35608.0,2016-08-05,Pending
C1247,Ali,19.0,F,user247@mail.com,Lahore ,Current,48964.0,2024-11-17,
C1248,,57.0,F,user248@mail.com,Karachi,Current ,19608.0,2023-05-27,Rejected
C1249,Zoya,53.0,Male,,Karachi,Current,59714.0,2023-11-07,
C1250,Sana,33.0,Female,,Karachi,saving,35117.0,2023-01-11,Approved
C1251,Sara,30.0,M,user251mail.com,,saving,25155.0,2024-11-15,Pending
C1252,Ali ,25.0,F,user252mail.com,Islamabad,Saving,,2024-02-04,Pending
C1253,Ahmed,20.0,Female,user253mail.com,,Current,61403.0,2018-03-24,
C1254,,19.0,M,,Lahore ,,84374.0,2023-10-16,Pending
C1255,Sara,52.0,male,,Karachi,Current,34407.0,2015-09-11,
C1256,Ali ,64.0,M,user256@mail.com,Islamabad,,56756.0,2020-10-25,Pending
C1257,Sana,,Female,user257mail.com,,Current ,4863.0,2018-04-22,Pending
C1258,Ahmed,50.0,Female,user258mail.com,Islamabad,,6467.0,2018-07-20,
C1259,Sara,57.0,Male,,Lahore ,Current ,47749.0,2016-09-03,Rejected
C1260,Sana,35.0,Female,user260@mail.com,,Current,44481.0,2017-03-17,Pending
C1261,Sara,19.0,Male,user261@mail.com,Islamabad,Current ,26779.0,2018-04-24,
C1262,Sana,52.0,,,Lahore,,43678.0,2020-07-22,approved
C1263,Ali ,32.0,F,,Lahore,Saving,28165.0,2024-06-13,Rejected
C1264,,59.0,Male,user264mail.com,Lahore,saving,91264.0,2020-11-02,approved
C1265,Ahmed,47.0,Female,user265@mail.com,Karachi,Current,15567.0,2015-09-13,approved
C1266,Sana,64.0,Female,,Lahore,Saving,90880.0,2019-06-02,Rejected
C1267,Sara,62.0,,user267mail.com,Lahore ,,87546.0,2016-12-14,
C1268,Ali ,54.0,,user268mail.com,Karachi,Saving,33332.0,2021-09-13,Approved
C1269,Sana,48.0,F,user269mail.com,Karachi,Saving,80661.0,2017-10-07,Rejected
C1270,Ahmed,47.0,Male,,Lahore ,Saving,90886.0,2023-04-04,
C1271,,50.0,Male,user271mail.com,Lahore ,Current ,53781.0,2015-01-26,Approved
C1272,Sana,21.0,Female,user272mail.com,Lahore ,Current,20194.0,2021-07-08,Rejected
C1273,Ali ,37.0,,,Lahore ,Saving,87882.0,2019-04-04,Rejected
C1274,Ali ,19.0,male,,,Current ,52032.0,2021-05-27,approved
C1275,Ali,46.0,Female,user275mail.com,,,48632.0,2023-07-16,Pending
C1276,Zoya,22.0,Female,user276@mail.com,Islamabad,Current,67074.0,2020-03-16,Approved
C1277,Sara,,Female,,Karachi,saving,55399.0,2016-07-24,Pending
C1278,Ali,55.0,M,,Islamabad,Current,9401.0,2015-11-24,Rejected
C1279,Sana,57.0,F,user279mail.com,Karachi,saving,81655.0,2017-12-21,
C1280,Ahmed,37.0,,user280@mail.com,Karachi,saving,31230.0,2023-12-03,Pending
C1281,Sara,18.0,F,user281mail.com,Karachi,Current,64456.0,2024-09-14,
C1282,,20.0,,user282@mail.com,,saving,,2016-11-04,approved
C1283,Ali ,27.0,M,,Karachi,Saving,62092.0,2017-02-04,Rejected
C1284,Ahmed,43.0,male,,Islamabad,Current ,6844.0,2019-09-11,
C1285,Ahmed,58.0,,user285mail.com,Lahore,,34151.0,2019-12-24,approved
C1286,Sara,35.0,Female,user286@mail.com,Lahore ,Current,67281.0,2024-06-30,Approved
C1287,Ali,22.0,M,,Karachi,Current,80691.0,2018-04-17,
C1288,Ali ,63.0,M,user288@mail.com,Lahore ,Current,18079.0,2020-09-22,Approved
C1289,Sana,27.0,M,user289@mail.com,Karachi,Current ,19263.0,2016-06-15,Rejected
C1290,Ahmed,59.0,F,user290mail.com,Lahore,,61953.0,2016-02-08,approved
C1291,Sara,32.0,Male,user291@mail.com,Lahore,saving,72708.0,2019-07-30,approved
C1292,Ali,49.0,Female,user292mail.com,Karachi,Saving,53842.0,2024-12-08,Approved
C1293,Zoya,25.0,M,user293@mail.com,Karachi,Current,91783.0,2022-07-06,Rejected
C1294,Ali ,47.0,male,,Karachi,Current,40551.0,2023-01-09,approved
C1295,Ahmed,62.0,F,user295mail.com,,Saving,24997.0,2021-02-05,Rejected
C1296,Ali,59.0,F,user296@mail.com,,,46665.0,2021-03-26,Pending
C1297,Ahmed,23.0,,,Islamabad,Saving,15134.0,2024-01-23,Rejected
C1298,Ahmed,24.0,M,user298@mail.com,Islamabad,,25433.0,2019-07-18,Pending
C1299,Zoya,47.0,Female,,,saving,56728.0,2017-07-01,approved
C1300,Sara,48.0,,,Karachi,saving,61354.0,2019-02-16,Approved
C1301,Sana,18.0,Male,user301mail.com,Karachi,Current,44867.0,2024-06-19,approved
C1302,Ali ,52.0,M,user302mail.com,Lahore,Current ,31807.0,2020-11-23,
C1303,,25.0,,user303@mail.com,Lahore,Current ,,2017-04-29,Approved
C1304,Ahmed,38.0,M,,Karachi,Current ,44102.0,2022-05-16,Rejected
C1305,Ali,46.0,Male,,,,22432.0,2019-05-18,approved
C1306,Ali ,42.0,Male,,Islamabad,Current ,1578.0,2016-03-18,approved
C1307,Sara,33.0,F,,Karachi,,21374.0,2021-05-07,
C1308,Sara,29.0,Female,user308@mail.com,Lahore ,Current,29326.0,2016-03-09,
C1309,Ali,50.0,Male,,Karachi,Current ,45462.0,2020-02-16,Rejected
C1310,Sara,45.0,M,,Lahore,Current ,18713.0,2021-10-26,
C1311,Zoya,21.0,M,user311@mail.com,Lahore,Current ,89459.0,2018-04-19,approved
C1312,,25.0,M,user312@mail.com,,,80163.0,2021-08-05,Approved
C1313,Ali ,43.0,M,user313@mail.com,Lahore ,Saving,20277.0,2024-10-10,
C1314,Zoya,18.0,Male,,Lahore,saving,3851.0,2017-08-19,Rejected
C1315,Zoya,43.0,male,,Islamabad,Current,2945.0,2022-08-16,Approved
C1316,,49.0,F,user316@mail.com,Karachi,Current,5257.0,2016-07-06,Rejected
C1317,,63.0,Male,user317@mail.com,,Saving,10500.0,2018-11-01,
C1318,Zoya,55.0,Male,user318mail.com,Lahore ,saving,6453.0,2021-07-03,Approved
C1319,Sana,63.0,male,user319@mail.com,Lahore,Saving,82492.0,2017-08-11,
C1320,Ali,21.0,F,user320mail.com,Islamabad,Saving,32481.0,2016-03-09,approved
C1321,Ali,24.0,Male,user321mail.com,Islamabad,saving,,2024-09-18,Approved
C1322,,43.0,Female,,,Current,89634.0,2017-09-02,approved
C1323,Ali ,30.0,Female,,Islamabad,Current,20319.0,2024-09-02,approved
C1324,,35.0,male,user324mail.com,Lahore,,74266.0,2018-09-14,
C1325,Zoya,42.0,Female,,,saving,43239.0,2018-04-16,
C1326,Sara,30.0,M,user326@mail.com,Lahore ,Saving,54721.0,2021-01-17,Rejected
C1327,Sara,25.0,male,user327@mail.com,,saving,62300.0,2018-02-02,
C1328,,23.0,M,,Islamabad,,42392.0,2019-08-22,Approved
