CustomerID,Name,Age,Gender,Email,City,AccountType,Balance,JoinDate,LoanStatus,Balance_PKR,Gender_Code
C1044,Unknown,19,Unknown,user44@mail.com,Islamabad,Current,38687,2020-02-19,Missing,38687 Rs,2
C1045,Sara,49,Male,user45mail.com,Lahore,Current,55934,2024-03-27,Rejected,55934 Rs,1
C1046,Sara,32,Unknown,Not provided,Lahore,Current,58969,2023-11-30,Pending,58969 Rs,2
C1047,Sana,64,Male,Not provided,Unknown,Unavailable,42380,2021-01-13,Approved,42380 Rs,1
C1048,Ahmed,47,Male,user48@mail.com,Lahore,Saving,31261,2022-04-09,Approved,31261 Rs,1
C1049,Unknown,29,Female,user49mail.com,Karachi,Saving,94024,2023-09-30,Approved,94024 Rs,0
C1050,Zoya,50,Female,user50@mail.com,Karachi,Unavailable,43444,2019-10-30,Approved,43444 Rs,0
C1051,Zoya,24,Male,user51@mail.com,Islamabad,Unavailable,72919,2015-01-22,Rejected,72919 Rs,1
C1052,Sana,62,Female,user52@mail.com,Lahore,Saving,16174,2017-02-16,Approved,16174 Rs,0
C1053,Ahmed,46,Male,Not provided,Lahore,Current,85000,2017-04-11,Approved,85000 Rs,1
C1054,Sara,53,Male,user54mail.com,Lahore,Current,33908,2017-11-06,Approved,33908 Rs,1
C1055,Ali,57,Female,user55mail.com,Unknown,Unavailable,86720,2022-12-30,Approved,86720 Rs,0
C1056,Ali,41,Male,user56mail.com,Lahore,Unavailable,5607,2022-12-24,Rejected,5607 Rs,1
C1057,Ali,47,Female,Not provided,Unknown,Current,56766,2022-05-25,Pending,56766 Rs,0
C1058,Zoya,54,Female,user58@mail.com,Lahore,Saving,39201,2020-02-27,Approved,39201 Rs,0
C1059,Ali,34,Unknown,Not provided,Lahore,Saving,50329,2017-07-31,Approved,50329 Rs,2
C1060,Sara,48,Male,user60mail.com,Lahore,Current,61994,2021-02-09,Approved,61994 Rs,1
C1061,Ahmed,33,Unknown,user61@mail.com,Lahore,Current,6588,2019-03-03,Rejected,6588 Rs,2
C1062,Sara,47,Unknown,Not provided,Unknown,Saving,28849,2018-05-24,Approved,28849 Rs,2
C1063,Sara,64,Unknown,Not provided,Karachi,Current,89954,2019-04-11,Pending,89954 Rs,2
C1064,Zoya,54,Unknown,user64mail.com,Lahore,Current,89900,2023-03-04,Missing,89900 Rs,2
C1065,Ahmed,19,Male,Not provided,Lahore,Current,47809,2020-05-10,Approved,47809 Rs,1
C1066,Zoya,52,Male,user66@mail.com,Islamabad,Saving,50700,2015-05-31,Pending,50700 Rs,1
C1067,Unknown,19,Female,user67mail.com,Lahore,Unavailable,0,2018-01-14,Approved,0 Rs,0
C1068,Ahmed,19,Male,user68@mail.com,Islamabad,Unavailable,93084,2021-02-22,Rejected,93084 Rs,1
C1069,Ahmed,36,Female,Not provided,Islamabad,Saving,39870,2017-04-08,Rejected,39870 Rs,0
C1070,Sara,49,Female,Not provided,Karachi,Saving,82106,2020-06-10,Approved,82106 Rs,0
C1071,Ali,38,Female,user71@mail.com,Islamabad,Current,62808,2020-03-08,Rejected,62808 Rs,0
C1072,Ali,39,Male,user72mail.com,Unknown,Current,99770,2017-03-31,Pending,99770 Rs,1
C1073,Ali,34,Male,user73@mail.com,Karachi,Current,83984,2021-06-08,Approved,83984 Rs,1
C1074,Unknown,36,Male,user74@mail.com,Karachi,Saving,21745,2020-12-15,Approved,21745 Rs,1
C1075,Sara,31,Female,user75@mail.com,Karachi,Unavailable,91691,2022-08-22,Pending,91691 Rs,0
C1076,Ahmed,40,Unknown,user76@mail.com,Lahore,Saving,71260,2021-06-14,Approved,71260 Rs,2
C1077,Sana,46,Male,user77@mail.com,Karachi,Current,59458,2023-12-28,Pending,59458 Rs,1
C1078,Sara,30,Male,Not provided,Unknown,Current,0,2024-04-14,Missing,0 Rs,1
C1079,Zoya,33,Male,user79@mail.com,Karachi,Unavailable,24459,2016-07-02,Approved,24459 Rs,1
C1080,Sana,58,Male,user80@mail.com,Lahore,Saving,42109,2021-04-10,Approved,42109 Rs,1
C1081,Zoya,35,Male,Not provided,Islamabad,Current,98622,2021-11-16,Pending,98622 Rs,1
C1082,Sara,53,Unknown,user82mail.com,Unknown,Unavailable,23586,2020-08-19,Approved,23586 Rs,2
C1083,Ali,41,Male,Not provided,Islamabad,Current,33045,2016-10-14,Approved,33045 Rs,1
C1084,Zoya,36,Unknown,user84@mail.com,Islamabad,Unavailable,22315,2018-10-03,Pending,22315 Rs,2
C1085,Sana,40,Male,user85mail.com,Karachi,Saving,69095,2021-08-30,Approved,69095 Rs,1
C1086,Ali,38,Unknown,user86mail.com,Lahore,Saving,32750,2015-12-26,Missing,32750 Rs,2
C1087,Unknown,26,Male,user87@mail.com,Lahore,Current,22399,2019-01-15,Rejected,22399 Rs,1
C1088,Sara,34,Male,Not provided,Islamabad,Current,0,2017-09-11,Approved,0 Rs,1
C1089,Ali,28,Male,user89mail.com,Lahore,Saving,82245,2020-09-01,Approved,82245 Rs,1
C1090,Ali,23,Unknown,user90mail.com,Karachi,Saving,21739,2016-01-19,Rejected,21739 Rs,2
C1091,Unknown,33,Female,user91@mail.com,Islamabad,Current,34443,2016-06-22,Approved,34443 Rs,0
C1092,Sara,19,Male,user92mail.com,Unknown,Current,80388,2017-05-21,Rejected,80388 Rs,1
C1093,Sana,38,Unknown,Not provided,Karachi,Current,62813,2024-06-30,Approved,62813 Rs,2
C1094,Sana,29,Male,user94mail.com,Karachi,Current,89696,2024-05-20,Rejected,89696 Rs,1
C1095,Ahmed,29,Male,user95@mail.com,Karachi,Saving,80301,2017-09-26,Approved,80301 Rs,1
C1096,Ali,41,Male,Not provided,Unknown,Current,12925,2016-04-04,Missing,12925 Rs,1
C1097,Ali,59,Female,Not provided,Karachi,Current,0,2018-06-08,Approved,0 Rs,0
C1098,Ali,60,Male,Not provided,Lahore,Current,43431,2022-10-25,Rejected,43431 Rs,1
C1099,Ali,24,Male,user99@mail.com,Lahore,Current,0,2023-04-08,Approved,0 Rs,1
C1100,Ali,18,Unknown,Not provided,Islamabad,Unavailable,54669,2017-04-18,Approved,54669 Rs,2
C1101,Ali,24,Female,user101@mail.com,Karachi,Saving,51814,2017-12-16,Pending,51814 Rs,0
C1102,Ahmed,58,Female,Not provided,Islamabad,Current,9604,2021-08-10,Rejected,9604 Rs,0
C1103,Unknown,46,Male,user103@mail.com,Lahore,Saving,28289,2017-06-26,Rejected,28289 Rs,1
C1104,Ahmed,36,Female,Not provided,Karachi,Saving,96974,2015-07-21,Approved,96974 Rs,0
C1105,Sara,47,Unknown,Not provided,Karachi,Saving,25008,2016-12-03,Approved,25008 Rs,2
C1106,Ahmed,21,Female,user106@mail.com,Islamabad,Unavailable,70554,2015-12-05,Rejected,70554 Rs,0
C1107,Ahmed,35,Male,user107mail.com,Lahore,Saving,80421,2020-06-03,Rejected,80421 Rs,1
C1108,Unknown,49,Female,Not provided,Karachi,Current,80568,2023-07-19,Approved,80568 Rs,0
C1109,Zoya,30,Female,user109mail.com,Lahore,Current,82516,2015-01-19,Missing,82516 Rs,0
C1110,Sara,46,Male,user110@mail.com,Karachi,Current,28923,2017-04-30,Missing,28923 Rs,1
C1111,Unknown,19,Male,user111mail.com,Lahore,Unavailable,16560,2017-09-06,Pending,16560 Rs,1
C1112,Sara,44,Female,user112mail.com,Unknown,Current,32675,2020-02-08,Pending,32675 Rs,0
C1113,Sana,62,Male,user113mail.com,Karachi,Unavailable,57082,2023-03-16,Missing,57082 Rs,1
C1114,Unknown,35,Male,user114@mail.com,Unknown,Saving,39277,2016-03-23,Pending,39277 Rs,1
C1115,Zoya,45,Female,user115mail.com,Islamabad,Saving,34301,2022-04-17,Pending,34301 Rs,0
C1116,Ali,18,Male,user116@mail.com,Karachi,Unavailable,73937,2022-04-26,Approved,73937 Rs,1
C1117,Ahmed,46,Female,user117@mail.com,Lahore,Saving,17086,2022-12-11,Pending,17086 Rs,0
C1118,Ali,41,Male,user118@mail.com,Islamabad,Unavailable,0,2016-08-11,Approved,0 Rs,1
C1119,Sana,20,Female,Not provided,Islamabad,Current,66074,2016-06-13,Rejected,66074 Rs,0
C1120,Zoya,54,Female,user120mail.com,Lahore,Current,26230,2021-02-25,Pending,26230 Rs,0
C1121,Ali,54,Female,Not provided,Karachi,Unavailable,8466,2019-11-26,Missing,8466 Rs,0
C1122,Sara,43,Male,user122@mail.com,Unknown,Unavailable,77211,2016-11-21,Pending,77211 Rs,1
C1123,Ali,26,Unknown,Not provided,Karachi,Unavailable,23346,2015-05-25,Approved,23346 Rs,2
C1124,Zoya,56,Male,user124@mail.com,Islamabad,Unavailable,17223,2022-08-14,Rejected,17223 Rs,1
C1125,Ahmed,28,Male,user125mail.com,Karachi,Current,78971,2024-03-03,Missing,78971 Rs,1
C1126,Sara,19,Female,user126@mail.com,Islamabad,Saving,24120,2023-05-09,Approved,24120 Rs,0
C1127,Ali,22,Male,Not provided,Karachi,Unavailable,2928,2022-09-28,Approved,2928 Rs,1
C1128,Sana,22,Unknown,Not provided,Karachi,Current,69714,2017-03-16,Pending,69714 Rs,2
C1129,Ahmed,23,Male,user129mail.com,Karachi,Current,48246,2022-06-21,Missing,48246 Rs,1
C1130,Ali,44,Female,Not provided,Islamabad,Current,38914,2017-07-18,Approved,38914 Rs,0
C1131,Ali,29,Female,user131@mail.com,Unknown,Unavailable,0,2021-01-28,Missing,0 Rs,0
C1132,Sara,52,Female,user132mail.com,Karachi,Saving,97708,2018-06-28,Missing,97708 Rs,0
C1133,Sara,36,Male,Not provided,Lahore,Current,62166,2019-08-15,Approved,62166 Rs,1
C1134,Ali,19,Male,user134mail.com,Lahore,Unavailable,90216,2021-01-13,Approved,90216 Rs,1
C1135,Unknown,38,Male,user135mail.com,Lahore,Saving,78301,2021-01-27,Approved,78301 Rs,1
C1136,Sara,59,Unknown,user136@mail.com,Unknown,Saving,23780,2019-07-30,Approved,23780 Rs,2
C1137,Zoya,55,Male,Not provided,Islamabad,Current,55363,2015-01-24,Missing,55363 Rs,1
C1138,Zoya,35,Male,Not provided,Karachi,Current,78572,2022-09-22,Rejected,78572 Rs,1
C1139,Ahmed,57,Male,Not provided,Lahore,Current,81268,2020-11-23,Rejected,81268 Rs,1
C1140,Sana,41,Unknown,user140@mail.com,Karachi,Current,98505,2022-11-14,Missing,98505 Rs,2
C1141,Sana,44,Male,user141@mail.com,Lahore,Saving,18660,2018-03-22,Pending,18660 Rs,1
C1142,Sara,19,Male,Not provided,Islamabad,Current,19060,2015-04-11,Approved,19060 Rs,1
C1143,Ahmed,33,Male,user143@mail.com,Islamabad,Saving,90286,2019-10-13,Approved,90286 Rs,1
C1144,Ahmed,56,Male,user144mail.com,Karachi,Saving,83912,2017-10-19,Missing,83912 Rs,1
C1145,Ali,53,Male,user145mail.com,Karachi,Saving,45802,2015-12-13,Approved,45802 Rs,1
C1146,Sana,44,Unknown,user146mail.com,Islamabad,Saving,73809,2024-08-08,Missing,73809 Rs,2
C1147,Ali,52,Female,user147@mail.com,Karachi,Current,47295,2021-10-02,Missing,47295 Rs,0
C1148,Unknown,54,Female,user148mail.com,Karachi,Current,47091,2021-03-03,Pending,47091 Rs,0
C1149,Ali,36,Male,user149@mail.com,Lahore,Saving,54326,2023-04-08,Approved,54326 Rs,1
C1150,Sara,25,Male,user150@mail.com,Unknown,Saving,0,2018-08-08,Approved,0 Rs,1
C1151,Unknown,27,Female,user151@mail.com,Lahore,Current,74870,2022-09-07,Approved,74870 Rs,0
C1152,Ahmed,43,Male,user152@mail.com,Unknown,Saving,92513,2016-05-03,Approved,92513 Rs,1
C1153,Ahmed,23,Female,user153@mail.com,Lahore,Current,7730,2024-02-13,Approved,7730 Rs,0
C1154,Ali,34,Male,Not provided,Lahore,Current,40937,2023-04-02,Approved,40937 Rs,1
C1155,Sana,47,Unknown,Not provided,Lahore,Unavailable,46178,2017-10-11,Missing,46178 Rs,2
C1156,Ahmed,21,Unknown,user156mail.com,Unknown,Current,76915,2016-12-01,Approved,76915 Rs,2
C1157,Unknown,58,Unknown,user157@mail.com,Unknown,Current,82739,2023-05-05,Missing,82739 Rs,2
C1158,Ali,55,Female,user158mail.com,Islamabad,Saving,8503,2016-03-22,Approved,8503 Rs,0
C1159,Ali,41,Female,Not provided,Unknown,Saving,9667,2015-12-05,Missing,9667 Rs,0
C1160,Sara,25,Unknown,Not provided,Unknown,Saving,35007,2021-07-25,Missing,35007 Rs,2
C1161,Ali,37,Female,user161@mail.com,Karachi,Current,31650,2019-07-25,Approved,31650 Rs,0
C1162,Ali,54,Female,Not provided,Unknown,Saving,30228,2023-04-24,Missing,30228 Rs,0
C1163,Sara,53,Unknown,user163mail.com,Islamabad,Current,21942,2024-10-16,Pending,21942 Rs,2
C1164,Zoya,58,Unknown,user164@mail.com,Karachi,Saving,33798,2023-11-10,Missing,33798 Rs,2
C1165,Ali,42,Male,Not provided,Karachi,Saving,32273,2023-09-03,Approved,32273 Rs,1
C1166,Zoya,38,Unknown,user166@mail.com,Karachi,Current,94764,2021-06-27,Pending,94764 Rs,2
C1167,Ahmed,40,Male,user167@mail.com,Karachi,Current,3187,2020-10-22,Approved,3187 Rs,1
C1168,Ali,39,Male,user168@mail.com,Unknown,Current,61754,2019-06-24,Pending,61754 Rs,1
C1169,Ali,46,Male,user169mail.com,Lahore,Current,19163,2015-03-11,Approved,19163 Rs,1
C1170,Unknown,51,Female,Not provided,Islamabad,Unavailable,99671,2024-09-14,Rejected,99671 Rs,0
C1171,Zoya,34,Female,Not provided,Karachi,Saving,90553,2019-03-12,Pending,90553 Rs,0
C1172,Ali,33,Female,user172@mail.com,Karachi,Saving,24210,2024-06-06,Approved,24210 Rs,0
C1173,Ahmed,60,Male,user173@mail.com,Lahore,Unavailable,78462,2015-01-09,Approved,78462 Rs,1
C1174,Unknown,53,Female,user174@mail.com,Unknown,Saving,73270,2024-01-10,Approved,73270 Rs,0
C1175,Ali,41,Female,user175@mail.com,Karachi,Current,83302,2018-11-27,Missing,83302 Rs,0
C1176,Unknown,21,Female,user176@mail.com,Lahore,Saving,79159,2015-06-29,Missing,79159 Rs,0
C1177,Unknown,56,Male,user177@mail.com,Islamabad,Saving,52675,2024-02-07,Missing,52675 Rs,1
C1178,Ahmed,48,Unknown,user178mail.com,Lahore,Saving,8102,2017-10-09,Missing,8102 Rs,2
C1179,Zoya,39,Unknown,user179mail.com,Islamabad,Saving,31209,2018-01-11,Approved,31209 Rs,2
C1180,Sana,40,Female,user180mail.com,Lahore,Saving,34900,2022-05-27,Pending,34900 Rs,0
C1181,Ali,19,Male,user181mail.com,Lahore,Current,19351,2018-09-10,Rejected,19351 Rs,1
C1182,Zoya,55,Male,Not provided,Lahore,Current,15288,2018-11-21,Approved,15288 Rs,1
C1183,Sana,25,Male,Not provided,Karachi,Saving,92715,2024-05-16,Approved,92715 Rs,1
C1184,Zoya,62,Male,user184@mail.com,Karachi,Current,0,2022-10-03,Missing,0 Rs,1
C1185,Ali,23,Male,user185@mail.com,Karachi,Saving,26583,2024-07-23,Approved,26583 Rs,1
C1186,Ahmed,47,Male,user186mail.com,Karachi,Current,89791,2018-01-09,Approved,89791 Rs,1
C1187,Sana,37,Male,user187mail.com,Unknown,Unavailable,81634,2019-10-22,Missing,81634 Rs,1
C1188,Ali,36,Unknown,user188@mail.com,Karachi,Current,35773,2019-01-24,Approved,35773 Rs,2
C1189,Ahmed,32,Male,user189@mail.com,Unknown,Current,82113,2022-09-16,Approved,82113 Rs,1
C1190,Ali,59,Male,user190mail.com,Karachi,Current,2943,2019-10-08,Approved,2943 Rs,1
C1191,Sara,49,Male,Not provided,Karachi,Current,4109,2016-09-07,Rejected,4109 Rs,1
C1192,Ahmed,41,Male,user192mail.com,Islamabad,Saving,73174,2017-03-26,Missing,73174 Rs,1
C1193,Ahmed,47,Unknown,user193@mail.com,Unknown,Saving,11753,2016-10-08,Rejected,11753 Rs,2
C1194,Ali,64,Male,Not provided,Lahore,Current,30464,2020-02-20,Approved,30464 Rs,1
C1195,Sana,45,Male,user195@mail.com,Islamabad,Current,36184,2024-02-25,Missing,36184 Rs,1
C1196,Ali,51,Male,user196@mail.com,Islamabad,Current,34288,2021-09-04,Rejected,34288 Rs,1
C1197,Ali,29,Male,user197mail.com,Islamabad,Current,54685,2016-05-23,Pending,54685 Rs,1
C1198,Unknown,63,Male,user198mail.com,Karachi,Saving,77769,2021-12-15,Rejected,77769 Rs,1
C1199,Ali,40,Unknown,user199mail.com,Karachi,Saving,77005,2016-08-09,Pending,77005 Rs,2
C1200,Ali,50,Female,Not provided,Unknown,Saving,0,2015-08-26,Missing,0 Rs,0
C1201,Ali,41,Male,Not provided,Lahore,Saving,9927,2024-01-09,Pending,9927 Rs,1
C1202,Zoya,33,Female,user202mail.com,Unknown,Current,30010,2016-01-12,Approved,30010 Rs,0
C1203,Ali,49,Male,user203@mail.com,Lahore,Current,27928,2016-07-14,Approved,27928 Rs,1
C1204,Ali,47,Unknown,Not provided,Islamabad,Unavailable,94089,2017-06-26,Pending,94089 Rs,2
C1205,Ahmed,30,Male,user205mail.com,Karachi,Current,72266,2022-08-05,Missing,72266 Rs,1
C1206,Unknown,58,Female,Not provided,Lahore,Saving,91119,2022-10-06,Pending,91119 Rs,0
C1207,Ahmed,24,Female,user207mail.com,Lahore,Current,72190,2015-07-28,Pending,72190 Rs,0
C1208,Ahmed,34,Male,user208mail.com,Karachi,Current,4017,2018-02-19,Approved,4017 Rs,1
C1209,Sara,24,Female,Not provided,Karachi,Current,38290,2020-07-21,Rejected,38290 Rs,0
C1210,Sana,29,Male,user210mail.com,Lahore,Unavailable,60187,2021-08-14,Missing,60187 Rs,1
C1211,Sana,41,Unknown,user211mail.com,Lahore,Saving,13065,2020-12-04,Approved,13065 Rs,2
C1212,Ahmed,32,Male,Not provided,Karachi,Saving,84785,2023-09-02,Approved,84785 Rs,1
C1213,Sara,39,Male,user213@mail.com,Karachi,Current,17591,2016-01-25,Approved,17591 Rs,1
C1214,Ali,54,Female,user214mail.com,Karachi,Current,30194,2016-08-27,Rejected,30194 Rs,0
C1215,Zoya,57,Female,user215mail.com,Karachi,Saving,44460,2021-09-04,Pending,44460 Rs,0
C1216,Ahmed,23,Female,user216mail.com,Karachi,Saving,99259,2023-10-04,Approved,99259 Rs,0
C1217,Sara,55,Male,user217@mail.com,Lahore,Saving,94974,2015-09-16,Approved,94974 Rs,1
C1218,Ali,55,Female,user218mail.com,Lahore,Unavailable,0,2018-08-06,Rejected,0 Rs,0
C1219,Ali,44,Female,Not provided,Unknown,Saving,1015,2020-01-27,Approved,1015 Rs,0
C1220,Sana,27,Female,user220mail.com,Lahore,Current,94947,2015-07-27,Rejected,94947 Rs,0
C1221,Sana,51,Female,Not provided,Unknown,Current,83335,2022-03-12,Approved,83335 Rs,0
C1222,Ali,29,Female,user222mail.com,Karachi,Saving,68661,2016-03-29,Rejected,68661 Rs,0
C1223,Unknown,49,Male,Not provided,Islamabad,Saving,25065,2020-12-26,Approved,25065 Rs,1
C1224,Zoya,20,Female,user224mail.com,Lahore,Saving,77178,2021-09-19,Missing,77178 Rs,0
C1225,Sara,52,Female,Not provided,Lahore,Saving,2819,2021-02-07,Pending,2819 Rs,0
C1226,Zoya,28,Female,user226mail.com,Karachi,Current,83641,2018-06-13,Approved,83641 Rs,0
C1227,Sana,20,Female,Not provided,Lahore,Current,42429,2019-07-20,Pending,42429 Rs,0
C1228,Unknown,37,Male,Not provided,Unknown,Unavailable,56595,2020-07-03,Pending,56595 Rs,1
C1229,Ali,55,Unknown,user229@mail.com,Lahore,Saving,85433,2018-10-28,Missing,85433 Rs,2
C1230,Sana,23,Male,user230mail.com,Karachi,Saving,26183,2019-10-14,Pending,26183 Rs,1
C1231,Ali,43,Male,user231mail.com,Karachi,Unavailable,49153,2018-09-05,Approved,49153 Rs,1
C1232,Ali,20,Male,user232mail.com,Karachi,Unavailable,38657,2018-12-07,Missing,38657 Rs,1
C1233,Ali,42,Female,Not provided,Islamabad,Saving,59602,2018-05-31,Rejected,59602 Rs,0
C1234,Unknown,60,Male,user234@mail.com,Karachi,Current,58496,2017-06-25,Pending,58496 Rs,1
C1235,Sana,48,Unknown,user235mail.com,Lahore,Unavailable,69225,2017-08-11,Pending,69225 Rs,2
C1236,Zoya,19,Female,Not provided,Islamabad,Saving,70130,2015-05-13,Pending,70130 Rs,0
C1237,Unknown,57,Male,user237mail.com,Lahore,Current,49790,2015-08-25,Pending,49790 Rs,1
C1238,Sana,26,Female,user238mail.com,Lahore,Unavailable,61550,2017-09-19,Rejected,61550 Rs,0
C1239,Sara,59,Male,user239mail.com,Karachi,Current,94189,2023-07-19,Rejected,94189 Rs,1
C1240,Sara,18,Male,Not provided,Unknown,Unavailable,22122,2015-02-22,Missing,22122 Rs,1
C1241,Ahmed,52,Unknown,user241@mail.com,Unknown,Saving,52122,2017-01-26,Pending,52122 Rs,2
C1242,Zoya,20,Male,Not provided,Lahore,Current,65600,2017-04-28,Rejected,65600 Rs,1
C1243,Unknown,51,Male,user243@mail.com,Karachi,Current,13595,2020-10-23,Pending,13595 Rs,1
C1244,Ahmed,41,Male,user244@mail.com,Karachi,Saving,69681,2017-03-09,Rejected,69681 Rs,1
C1245,Sana,37,Male,user245mail.com,Karachi,Saving,94828,2019-01-11,Rejected,94828 Rs,1
C1246,Unknown,41,Unknown,Not provided,Unknown,Saving,35608,2016-08-05,Pending,35608 Rs,2
C1247,Ali,19,Female,user247@mail.com,Lahore,Current,48964,2024-11-17,Missing,48964 Rs,0
C1248,Unknown,57,Female,user248@mail.com,Karachi,Current,19608,2023-05-27,Rejected,19608 Rs,0
C1249,Zoya,53,Male,Not provided,Karachi,Current,59714,2023-11-07,Missing,59714 Rs,1
C1250,Sana,33,Female,Not provided,Karachi,Saving,35117,2023-01-11,Approved,35117 Rs,0
C1251,Sara,30,Male,user251mail.com,Unknown,Saving,25155,2024-11-15,Pending,25155 Rs,1
C1252,Ali,25,Female,user252mail.com,Islamabad,Saving,0,2024-02-04,Pending,0 Rs,0
C1253,Ahmed,20,Female,user253mail.com,Unknown,Current,61403,2018-03-24,Missing,61403 Rs,0
C1254,Unknown,19,Male,Not provided,Lahore,Unavailable,84374,2023-10-16,Pending,84374 Rs,1
C1255,Sara,52,Male,Not provided,Karachi,Current,34407,2015-09-11,Missing,34407 Rs,1
C1256,Ali,64,Male,user256@mail.com,Islamabad,Unavailable,56756,2020-10-25,Pending,56756 Rs,1
C1257,Sana,41,Female,user257mail.com,Unknown,Current,4863,2018-04-22,Pending,4863 Rs,0
C1258,Ahmed,50,Female,user258mail.com,Islamabad,Unavailable,6467,2018-07-20,Missing,6467 Rs,0
C1259,Sara,57,Male,Not provided,Lahore,Current,47749,2016-09-03,Rejected,47749 Rs,1
C1260,Sana,35,Female,user260@mail.com,Unknown,Current,44481,2017-03-17,Pending,44481 Rs,0
C1261,Sara,19,Male,user261@mail.com,Islamabad,Current,26779,2018-04-24,Missing,26779 Rs,1
C1262,Sana,52,Unknown,Not provided,Lahore,Unavailable,43678,2020-07-22,Approved,43678 Rs,2
